"['110117054', '112117061']",Amber B Ground,28
"['110117067', '110117087']",Amber B Ground,29
"['103117007', '103117013']",Amber B Ground,30
"['106117019', '106117069']",Amber B Ground,31
"['106117014', '106117108']",Amber B Ground,32
"['108117075', '110117103']",Amber B Ground,33
"['114117027', '114117043']",Amber B Ground,34
"['110117052', '110117090']",Amber B Ground,35
"['103117016', '103117046']",Amber B Ground,36
"['108117065', '108117099']",Amber B Ground,37
"['112117020', '112117048']",Amber B Ground,38
"['108117024', '111117045']",Amber B Ground,39
"['107117033', '107117045']",Amber B First,40
"['111117033', '111117052']",Amber B First,41
"['111117012', '111117038']",Amber B First,42
"['114117070', '114117074']",Amber B First,43
"['103117038', '114117048']",Amber B First,44
"['111117053', '112117036']",Amber B First,45
"['103117070', '114117103']",Amber B First,46
"['114117068', '114117092']",Amber B First,47
"['111117079', '111117091']",Amber B First,48
"['108117067', '108117106']",Amber B First,49
"['102117010', '102117046']",Amber B First,50
"['110117089', '111117068']",Amber B First,51
"['111117030', '111117036']",Amber B First,52
"['110117097', '114117052']",Amber B First,53
"['107117050', '112117059']",Amber B First,54
"['102117054', '102117066']",Amber B First,55
"['107117042', '111117027']",Amber B First,56
"['102117005', '102117012']",Amber B First,57
"['106117072', '106117078']",Amber B First,58
"['111117035', '111117077']",Amber B First,59
"['102117023', '102117055']",Amber B First,60
"['114117044', '114117080']",Amber B First,61
"['101117036', '102117018']",Amber B First,62
"['103117075', '107117016']",Amber B First,63
"['106117058', '107117085']",Amber B First,64
"['110117007', '110117037']",Amber B First,65
"['110117014', '114117098']",Amber B First,66
"['110117016', '110117018']",Amber B First,67
"['110117040', '110117074']",Amber B First,68
"['106117015', '106117085']",Amber B First,69
"['108117104', '111117032']",Amber B First,70
"['111117046', '114117015']",Amber B First,71
"['111117044', '114117025']",Amber B First,72
"['107117046', '107117102']",Amber B First,73
"['103117044', '111117105']",Amber B First,74
"['103117026', '103117042']",Amber B First,75
"['103117033', '111117058']",Amber B First,76
"['108117082', '110117076']",Amber B First,77
"['106117008', '107117049']",Amber B First,78
"['106117074', '106117092']",Amber B First,79
"['110117009', '114117037']",Amber B First,80
"['108117021', '111117088']",Amber B First,81
"['107117017', '107117108']",Amber B Second,82
"['106117064', '108117086']",Amber B Second,83
"['108117030', '108117037']",Amber B Second,84
"['110117012', '110117078']",Amber B Second,85
"['106117059', '111117026']",Amber B Second,86
"['111117064', '111117102']",Amber B Second,87
"['110117021', '111117065']",Amber B Second,88
"['106117001', '106117007']",Amber B Second,89
"['108117074', '114117023']",Amber B Second,90
"['110117008', '111117042']",Amber B Second,91
"['108117096', '112117051']",Amber B Second,92
"['111117019', '111117069']",Amber B Second,93
"['108117040', '114117097']",Amber B Second,94
"['114117036', '114117046']",Amber B Second,95
"['108117090', '108117094']",Amber B Second,96
"['112117006', '112117026']",Amber B Second,97
"['107117038', '111117059']",Amber B Second,98
"['102117071', '112117017']",Amber B Second,99
"['108117077', '111117089']",Amber B Second,100
"['114117029', '114117034']",Amber B Second,101
"['102117042', '114117063']",Amber B Second,102
"['111117087', '111117103']",Amber B Second,103
"['106117017', '106117063']",Amber B Second,104
"['108117005', '114117082']",Amber B Second,105
"['102117056', '106117103']",Amber B Second,106
"['102117039', '114117096']",Amber B Second,107
"['102117025', '107117052']",Amber B Second,108
"['107117092', '111117008']",Amber B Second,109
"['110117015', '110117019']",Amber B Second,110
"['106117067', '108117105']",Amber B Second,111
"['107117006', '107117076']",Amber B Second,112
"['111117047', '114117101']",Amber B Second,113
"['106117105', '107117051']",Amber B Second,114
"['102117032', '102117040']",Amber B Second,115
"['111117094', '111117106']",Amber B Second,116
"['107117095', '114117102']",Amber B Second,117
"['110117066', '110117099']",Amber B Second,118
"['112117025', '112117049']",Amber B Second,119
"['112117012', '112117038']",Amber B Second,120
"['107117024', '111117084']",Amber B Second,121
"['103117059', '111117040']",Amber B Second,122
"['110117039', '110117084']",Amber B Second,123
"['103117067', '107117027']",Amber B Third,124
"['103117085', '110117082']",Amber B Third,125
"['102117033', '114117055']",Amber B Third,126
"['103117083', '106117111']",Amber B Third,127
"['110117049', '110117051']",Amber B Third,128
"['111117002', '111117083']",Amber B Third,129
"['103117037', '103117080']",Amber B Third,130
"['114117030', '114117090']",Amber B Third,131
"['111117086', '112117005']",Amber B Third,132
"['103117072', '103117084']",Amber B Third,133
"['107117037', '114117020']",Amber B Third,134
"['110117030', '110117088']",Amber B Third,135
"['102117061', '114117078']",Amber B Third,136
"['110117002', '110117079']",Amber B Third,137
"['107117019', '107117101']",Amber B Third,138
"['101117024', '110117105']",Amber B Third,139
"['107117065', '111117060']",Amber B Third,140
"['102117001', '106117043']",Amber B Third,141
"['106117071', '106117095']",Amber B Third,142
"['111117031', '114117065']",Amber B Third,143
"['102117043', '114117084']",Amber B Third,144
"['102117053', '108117016']",Amber B Third,145
"['103117077', '114117011']",Amber B Third,146
"['106117021', '106117052']",Amber B Third,147
"['102117003', '110117098']",Amber B Third,148
"['108117102', '114117072']",Amber B Third,149
"['103117066', '103117096']",Amber B Third,150
"['107117044', '111117016']",Amber B Third,151
"['111117043', '114117066']",Amber B Third,152
"['111117070', '112117058']",Amber B Third,153
"['111117017', '111117037']",Amber B Third,154
"['106117039', '111117005']",Amber B Third,155
"['107117041', '107117047']",Amber B Third,156
"['103117049', '106117022']",Amber B Third,157
"['108117052', '108117066']",Amber B Third,158
"['111117018', '111117050']",Amber B Third,159
"['111117051', '112117041']",Amber B Third,160
"['110117055', '114117075']",Amber B Third,161
"['112117062', '114117013']",Amber B Third,162
"['102117009', '112117010']",Amber B Third,163
"['114117035', '114117100']",Amber B Third,164
"['112117021', '114117099']",Amber B Third,165
,,
,,
,,
"['108117046', '108117053']",Garnet C,103
"['103117078', '108117033']",Garnet C,104
"['110117027', '110117104']",Garnet C,105
"['107117030', '108117027']",Garnet C,106
"['108117023', '114117051']",Garnet C,107
"['102117034', '111117009']",Garnet C,108
"['102117004', '112117011']",Garnet C,109
"['108117018', '114117060']",Garnet C,110
"['110117060', '114117064']",Garnet C,111
"['107117008', '112117039']",Garnet C,112
"['111117056', '112117008']",Garnet C,113
"['110117071', '112117046']",Garnet C,114
"['102117041', '106117109']",Garnet C,115
"['106117100', '107117081']",Garnet C,116
"['110117022', '110117032']",Garnet C,117
"['106117004', '106117009']",Garnet C,118
"['108117045', '114117054']",Garnet C,119
"['114117016', '114117094']",Garnet C,120
"['110117064', '110117106']",Garnet C,121
,,
,,
,,
"['111117073', '111117095']",Amber A First Store Room,1
"['110117036', '110117102']",Amber A Second Store Room,2
"['107117088', '114117018']",Amber A Third Store Room,3
"['106117024', '110117062']",Amber B Ground Store Room,4
"['107117066', '108117069']",Amber B First Store Room,5
"['112117023', '112117035']",Amber B Second Store Room,6
"['102117045', '114117062']",Amber B Third Store Room,7
,,
,,
,,
"['110117072', '114117014']",Zircon C,92
"['111117093', '114117042']",Zircon C,93
"['112117004', '112117015']",Zircon C,94
"['107117021', '107117107']",Zircon C,95
"['110117038', '110117044']",Zircon C,96
"['111117021', '111117049']",Zircon C,97
"['103117093', '103117107']",Zircon C,98
"['108117103', '110117005']",Zircon C,99
"['111117039', '111117078']",Zircon C,100
"['111117081', '114117012']",Zircon C,101
